from_player,to_player,assists,assist_points
Stephon Castle,Charles Bassey,16,32
Stephon Castle,Devin Vassell,34,94
Stephon Castle,Tre Jones,4,10
Stephon Castle,David Duke Jr.,0,0
Stephon Castle,Sandro Mamukelashvili,19,48
Stephon Castle,Julian Champagnie,47,132
Stephon Castle,Malaki Branham,9,22
Stephon Castle,Blake Wesley,9,23
Stephon Castle,Jeremy Sochan,24,49
Stephon Castle,Harrison Ingram,1,2
Stephon Castle,Sidy Cissoko,0,0
Stephon Castle,Victor Wembanyama,36,85
Stephon Castle,Stephon Castle,0,0
